method,short,seed,waypoint,x,y
AC+CBF+AER,AC+CBF+AER,0,1,0.362327249434859,2.46
AC+CBF+AER,AC+CBF+AER,0,2,0.5354961155543989,2.202234886364696
AC+CBF+AER,AC+CBF+AER,0,3,0.77,1.9496779475687056
AC+CBF+AER,AC+CBF+AER,0,4,0.9094855909980966,1.6865815539417095
AC+CBF+AER,AC+CBF+AER,0,5,1.0147159252931617,1.3045105683452067
AC+CBF+AER,AC+CBF+AER,0,6,1.11,0.89
AC+CBF+AER,AC+CBF+AER,0,7,1.5305516169221367,0.77
AC+CBF+AER,AC+CBF+AER,0,8,2.02,0.78
AC+CBF+AER,AC+CBF+AER,0,9,2.16,1.0569263428486952
AC+CBF+AER,AC+CBF+AER,0,10,1.8900000000000472,1.33
AC+CBF+AER,AC+CBF+AER,0,11,1.62,1.58
AC+CBF+AER,AC+CBF+AER,1,0,0.22,2.82
AC+CBF+AER,AC+CBF+AER,1,1,0.3550622754186144,2.46
AC+CBF+AER,AC+CBF+AER,1,2,0.5360239708523801,2.201190887359784
AC+CBF+AER,AC+CBF+AER,1,3,0.77,1.9439347245886065
AC+CBF+AER,AC+CBF+AER,1,4,0.9071811555580652,1.667593011555978
AC+CBF+AER,AC+CBF+AER,1,5,1.0154793852649937,1.2968508644746175
AC+CBF+AER,AC+CBF+AER,1,6,1.11,0.89
AC+CBF+AER,AC+CBF+AER,1,7,1.5337420544415885,0.77
AC+CBF+AER,AC+CBF+AER,1,8,2.02,0.78
AC+CBF+AER,AC+CBF+AER,1,9,2.16,1.057415253701805
AC+CBF+AER,AC+CBF+AER,1,10,1.889999999999992,1.33
AC+CBF+AER,AC+CBF+AER,1,11,1.62,1.58
AC+CBF+AER,AC+CBF+AER,2,0,0.22,2.82
AC+CBF+AER,AC+CBF+AER,2,1,0.36705355917414,2.46
AC+CBF+AER,AC+CBF+AER,2,2,0.5441315739431045,2.2050882745503118
AC+CBF+AER,AC+CBF+AER,2,3,0.77,1.9492518603914328
AC+CBF+AER,AC+CBF+AER,2,4,0.9095126900293564,1.672605600894147
AC+CBF+AER,AC+CBF+AER,2,5,1.021149962587886,1.306983940154243
AC+CBF+AER,AC+CBF+AER,2,6,1.11,0.89
