stress_multiplier,method,short,violation_rate_mean,violation_rate_std,violation_count_mean,known_static_violation_rate_mean,known_static_violation_rate_std,known_static_violation_count_mean,uncertain_true_violation_rate_mean,uncertain_true_violation_rate_std,uncertain_true_violation_count_mean,min_clearance_cm_mean,min_clearance_cm_std,min_known_static_clearance_cm_mean,min_known_static_clearance_cm_std,min_uncertain_true_clearance_cm_mean,min_uncertain_true_clearance_cm_std,cost_mean,cost_std,belief_center_rmse_cm_mean,belief_center_rmse_cm_std,goal_error_cm_mean,reached_rate
4.0,AC+CBF,AC+CBF,0.00499999999999998,0.0069619959605778,1.4,0.0,0.0,0.0,0.00499999999999998,0.0069619959605778,1.4,-0.060117279652063,0.7046343881313284,3.4268254155431053,1.732250068652959,-0.060117279652063,0.7046343881313284,14.8118633183085,9.856732033545931,9.974739439945298,1.6991111559557475,4.929834724946502,1.0
4.0,AC+CBF+PER,AC+CBF+PER,0.0064285714285714,0.008892785427134772,1.8,0.0,0.0,0.0,0.0064285714285714,0.008892785427134772,1.8,-0.1857975168793113,0.9996789760904469,3.402470263803888,1.7169872275416769,-0.1857975168793113,0.9996789760904469,16.64308199309554,13.01731174498691,9.974739439945298,1.6991111559557475,4.751101977532872,1.0
4.0,AC+CBF+UE,AC+CBF+UE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.102255161735816,0.5030174368252147,3.271573121785149,2.1701175875757124,4.323702970682935,2.5772507484800573,8.580922540079216,1.4130509662511566,7.355724201945745,1.499024063341497,4.8803370964617,1.0
4.0,AC+CBF+AER,AC+CBF+AER,0.00214285714285714,0.004791574237499543,0.6,0.0,0.0,0.0,0.00214285714285714,0.004791574237499543,0.6,0.9186644508294256,0.9535975683445636,3.5641496484321897,2.076554464437638,0.9186644508294256,0.9535975683445636,10.518415559126918,6.442028094633012,9.974739439945298,1.6991111559557475,4.7028819456894,1.0
4.0,Full,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.355183305280581,0.27046338603802367,2.355183305280581,0.27046338603802367,6.9945640162778915,0.42262028249778555,8.44249899499022,1.0880812350539946,4.32878529497247,0.40836385295301997,4.844371504019042,1.0
4.5,AC,AC,0.01357142857142854,0.010534200859823302,3.8,0.0,0.0,0.0,0.01357142857142854,0.010534200859823302,3.8,-0.9441146317758584,0.6330955996490336,2.2575112256576775,0.331071629056438,-0.9441146317758584,0.6330955996490336,26.0728538883368,15.325175939195795,11.131195582299473,2.0709337558951715,4.539417778000951,1.0
4.5,AC+CBF,AC+CBF,0.0057142857142857,0.005416339602893955,1.6,0.0,0.0,0.0,0.0057142857142857,0.005416339602893955,1.6,-0.44155224344895505,0.6489061544683736,3.070282139533673,1.0582544260443556,-0.44155224344895505,0.6489061544683736,16.008151506034675,7.834719685542148,11.131195582299473,2.0709337558951715,4.836689757910371,1.0
4.5,AC+CBF+PER,AC+CBF+PER,0.00714285714285712,0.007576144084141559,2.0,0.0,0.0,0.0,0.00714285714285712,0.007576144084141559,2.0,-0.4981570627821908,0.8699073770042741,3.371434479888998,1.7276213636979763,-0.4981570627821908,0.8699073770042741,17.83071722241826,11.354038226575977,11.131195582299473,2.0709337558951715,4.711786708630536,1.0
4.5,AC+CBF+UE,AC+CBF+UE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2462632045852993,0.454980301055634,3.189837388125357,2.149860955685207,4.265198505277131,2.077109048078501,9.935139860434868,3.2409974142603613,8.132568264433862,1.5857761081844333,21.424562787207584,0.8
4.5,AC+CBF+AER,AC+CBF+AER,0.0014285714285714201,0.0031943828249996805,0.4,0.0,0.0,0.0,0.0014285714285714201,0.0031943828249996805,0.4,0.5160482200681843,0.821492814659518,3.570409041279838,2.184452725797523,0.5160482200681843,0.821492814659518,9.628332282715844,4.937526009581348,11.131195582299473,2.0709337558951715,4.642023904235564,1.0
4.5,Full,Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.463094223346546,0.4315622869561134,2.463094223346546,0.4315622869561134,7.091981857447529,0.47268577157582353,8.323851644721717,1.0139997685036046,4.17041362964016,0.6199166364442319,4.810725256805055,1.0
